"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"4749","Trivia Vault: Mini Mixed Trivia 3","Sep 19, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripknot Systems","Ripknot Systems"
"4752","Take Off - The Flight Simulator","Oct 10, 2017","$2.69","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Jujubee S.A.","astragon Entertainment"
"4761","Silver Tale","Aug 11, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Playcademy","Shaman Game Studios"
"4762","Mustache Politics Shooter","Nov 28, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tero Lunkka, BlackThug","Tero Lunkka"
"4764","Duck Hunting","Apr 5, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alekseev","Conglomerate 5"
"4765","Descent - Silence of Mind","Aug 1, 2017","$13.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Labory","SA Industry"
"4766","Trivia Vault: Classic Rock Trivia 2","Aug 23, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripknot Systems","Ripknot Systems"
"4767","Darkest Hunters","Sep 27, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ECC GAMES S.A.","Ultimate Games S.A."
"4768","River City Melee : Battle Royal Special","Sep 28, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Arc System Works","H2 Interactive Co., Ltd."
"4771","Zhulik.exe","Dec 27, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DarkDes Labs","DarkDes Labs"
"4772","Battle of Frigates","Sep 21, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dmitriy Uvarov, Vyacheslav Shilikhin","Conglomerate 5"
"4773","To The Light","Jul 3, 2017","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ZOV GAME STUDIO","ZOV GAME STUDIO"
"4779","Helltown","Sep 27, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","WildArts Games","WildArts Games"
"4789","Fairy of the treasures","Dec 27, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pink Label Games","Pink Label Games"
"4790","Pixel Shooter","Jul 3, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sabrina Aridi","Sabrina Aridi"
"4792","Antagonist","Mar 17, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","NIVLACART","KOMODO"
"4796","8-bit Adventure Anthology: Volume I","Oct 31, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","General Arcade, Abstraction Games","Abstraction Games"
"4804","Antisphere","Jul 14, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Soap Interactive, Lion Game Lion","Starbreeze Publishing AB"
"4805","Fallen Times","Oct 9, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DaFu Studio","DaFu Studio"
"4807","Psi Project","Nov 10, 2017","$0.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Vyacheslav Shilikhin","Conglomerate 5"
"4812","Tiny Troopers 2","May 31, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Starloop Studios SL, Kukouri","Game Troopers"
"4814","Leisure Suit Larry 6 - Shape Up Or Slip Out","Dec 18, 2017","$1.24","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Assemble Entertainment, Sierra Entertainment","Assemble Entertainment"
"4815","A Demon's Game - Episode 1","Feb 9, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","RP Studios","Conglomerate 5"
"4816","Gravity Quest","Jun 23, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Light Road Games","Light Road Games"
"4818","Broccoli Bob","Mar 22, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Timberwolf Studios","My Way Games"
"4824","England Exchange","May 5, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hanabira","Hanako Games"
"4825","Trivia Vault: 1980's Trivia 2","Aug 22, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripknot Systems","Ripknot Systems"
"4826","Purple Heart","Nov 27, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Artalasky","Artalasky"
"4827","Intelligent Design: An Evolutionary Sandbox","May 12, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pill Bug Interactive","Pill Bug Interactive"
"4831","Tragedy of Prince Rupert","Jul 26, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Spytihněv","Spytihněv"
"4833","Crowman & Wolfboy","Jun 2, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wither Studios","Wither Studios, LLC"
"4835","Now Man Flies","Nov 23, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Epic Fire","DNB Media"
"4836","Just Jump","Dec 26, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Old Keyboard","Old Keyboard"
"4837","Mind Maze","Jun 16, 2017","$1.79","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Satur Entertainment","Satur Entertainment"
"4838","CTHON","Mar 17, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gravity Games","Gravity Games"
"4844","Trivia Vault: Classic Rock Trivia","Aug 17, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripknot Systems","Ripknot Systems"
"4845","Crazy Fishing","May 25, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mana Wings","Mana Wings"
"4846","Trivia Vault: Mini Mixed Trivia 4","Sep 21, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripknot Systems","Ripknot Systems"
"4850","Invisibox","Oct 18, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Retrific","Retrific"
"4853","Burn It Down","Aug 3, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tapinator, Max Ignatyev","K Bros Games"
"4858","Leisure Suit Larry 2 - Looking For Love (In Several Wrong Places)","Dec 18, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Assemble Entertainment, Sierra Entertainment","Assemble Entertainment"
"4862","Hold your houses","Jan 30, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","WhackAKey Games","Conglomerate 5"
"4876","Jelly in the sky","Dec 11, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Zolden Games","Zolden Games"
"4880","YANKAI'S PEAK.","Jul 13, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kenny Sun","Kenny Sun"
"4888","Spiral Splatter","Aug 9, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Neonchimp Games","Sometimes You"
"4891","The Curse Of Yendor","Feb 17, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","IBOLOGY LLC","IBOLOGY LLC"
"4895","Tarim: Guardians","Oct 27, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dosane Games","Akim Games"
"4904","Felix Jumpman","Jan 24, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ThinkOfGames, The Storytelling Studio","Conglomerate 5"
"4906","Grav Blazer","Jul 17, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripknot Systems","Ripknot Systems"
"4907","BattleTrucks","Mar 1, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BattleGames","Conglomerate 5"
"4917","Trivia Vault: Super Heroes Trivia","Aug 15, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripknot Systems","Ripknot Systems"
"4925","AFTERGRINDER","Jul 18, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Grave Danger Games","Grave Danger Games"
"4926","A Hole New World","May 19, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MadGearGames","MadGearGames"
"4927","七个小矮人2 / Seven boys 2","Sep 15, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","橙光游戏","橙光游戏"
"4935","Mission Ammunition","Oct 27, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Quantized Bit","Quantized Bit"
"4938","The Inner Darkness","Feb 24, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nauris Amatnieks","Nauris Amatnieks"
"4941","The Village","Oct 12, 2017","$0.83","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Softwaves","SA Industry"
"4943","Battle Girls","Jul 6, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dharker Studios","Dharker Studios"
"4953","All Alone: VR","Mar 8, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","8bit","Bitlock Studio"
"4954","Gachimuchi","Nov 13, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Volha","Volha"
"4957","Hyperun","Jul 11, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Uki Uki Lab, Concrete Games","Uki Uki Lab"
"4958","Marble Land","Dec 6, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Devious Technologies","Devious Technologies"
"4959","Blasted Road Terror","Oct 6, 2017","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tryzna83","Tryzna83"
"4967","Space Fuss","Feb 28, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","NerdyYetis","NerdyYetis"
"4968","Wells","Jan 29, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tower Up Studios","Tower Up Studios"
"4969","Cube Link","Oct 23, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hannes Delbeke","Hannes Delbeke"
"4977","Magic Box","Jan 19, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Indie Games Studio","Enoops"
"4983","American Patriots: Boston Tea Party","Sep 19, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cult Software","Cult Software"
"4985","Spoids","Feb 20, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","AirWave Games","BindleBot"
"4986","Flower Design","Mar 17, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PanGuoJun","PanGuoJun"
"4988","Community Inc","Aug 3, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","T4 Interactive","tinyBuild"
"4990","A Bloody Night","Jun 22, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Elder Leaf Studio","Elder Leaf Studio"
"4991","AFL Evolution","Jul 20, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wicked Witch","Tru Blu Games"
"4992","Tetraminos","Feb 20, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sanuk Games","Nacon"
"4994","Girl Blonde","Oct 18, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Laush Dmitriy Sergeevich","Laush Studio"
"4996","Holy Potatoes! What the Hell?!","Oct 13, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Daylight Studios","Daedalic Entertainment"
"4997","Don't Chat With Strangers","Jan 6, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bartosz Bojarowski","Bartosz Bojarowski"
"5002","Zombie Ballz","Feb 10, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Almighty Games","Almighty Games"
"5008","RunningDead","Mar 3, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PotionC","PotionC"
"5014","Government Simulator","Dec 4, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ambiera","Ambiera"
"5015","Frequent Flyer","Jan 20, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Coldwild Games, Vladimir Slav, Helen Nazarenko","Coldwild Games"
"5018","Trivia Vault: 1980's Trivia","Aug 16, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ripknot Systems","Ripknot Systems"
"5024","Romance of the Three Kingdoms VII with Power Up Kit","Jul 25, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"5026","Xenon Valkyrie","Feb 3, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Diabolical Mind, Daniel Fernandez Chavez","Diabolical Mind"
"5028","Fenimore Fillmore: The Westerner","Mar 10, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Casual Brothers","Casual Brothers"
"5029","Witch of Ice Kingdom Ⅱ","Jan 2, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Windward_Birds","XNZONE"
"5030","Close Me","Aug 9, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yai Gameworks","Yai Gameworks"
"5031","Urlaubsflug Simulator – Holiday Flight Simulator","Apr 13, 2017","$4.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Caipirinha Games","SimWare Simulations"
"5037","Debris","Oct 23, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Moonray Studios","Moonray Studios"
"5038","Zork: Grand Inquisitor","Apr 18, 2017","$3.89","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Activision","Activision"
"5043","The Albatross","Feb 15, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FlagmanJeremy","FlagmanJeremy"
"5048","The Chosen Warriors","Dec 22, 2017","$0.59","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","GoeX GameS","GoeX GameS"
"5053","The Legacy: Forgotten Gates Collector's Edition","Aug 4, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FIVE-BN GAMES","FIVE-BN GAMES"
"5062","Nihilist Simulator","Dec 11, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","hyperboreanGames","Back To Basics Gaming"
"5068","PLUTONIUM","May 9, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ch.ZBK","Ch.ZBK"
"5073","Alchemist's Castle","Nov 2, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kabuk Games","Kabuk Games"
"5075","2017 VR","May 8, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tungsten Games","Tungsten Games"
"5079","Doodle Mafia","Apr 20, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","JoyBits Ltd.","JoyBits Ltd."
"5081","Algotica Iterations","Mar 23, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alexander Goodwin","Alexander Goodwin"
"5084","Romance of the Three Kingdoms VIII with Power Up Kit","Aug 29, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"5089","MMM: Murder Most Misfortunate","May 1, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Michael Long, Foolish Mortals Games","Foolish Mortals Games"
"5090","Dead Drop","Apr 21, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ethan Waite","Volens Nolens Games"
"5091","Gods of the Fallen Land","Jul 31, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crow's Key Studios","Crow's Key Studios"
"5093","EMPORIUM","Apr 21, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tom Kitchen","Tom Kitchen"
"5094","Hurricane","Mar 6, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Because I Can","Because I Can"
"5095","BREACH IT","May 30, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Domas Sabockis","Domas Sabockis"
"5100","Tomato Jones 2","May 12, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","HA Studio Ltd.","SA Industry"
"5101","The Fan","May 10, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ezhaac Studio","Plug In Digital"
"5104","Iron Crypticle","Jul 12, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Confused Pelican","TIKIPOD"
"5105","Mad Age & This Guy","Oct 24, 2017","$0.74","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Atomic Wolf","Atomic Wolf"
"5108","Adventures On The Polluted Islands","Feb 17, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Uncle Frost Team","Sometimes You"
"5112","Darkness and Flame: Missing Memories Collector's Edition","Oct 24, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FIVE-BN GAMES","FIVE-BN GAMES"
"5113","Hop Step Sing! Kimamani☆Summer vacation (HQ Edition)","Aug 17, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kodansha, Polygon Pictures Inc., Lantis","KOMODO"
"5115","Infinite Minigolf","Jul 25, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Zen Studios","Zen Studios"
"5117","Masked Shooters","May 21, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FreezeNova","FreezeNova"
"5118","Castle of no Escape","Jun 22, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Xitilon, Esdeer","Xitilon"
"5124","Like Clay","Mar 14, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","free08Games","free08Games"
"5125","Post Human W.A.R","Dec 14, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Studio Chahut","Dear Villagers"
"5128","Artillerists","Jan 2, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SolarLance","SolarLance"
"5130","Fart Simulator 2018","Dec 5, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SacriFACE Studio","SacriFACE Studio"
"5132","Bakery","Nov 22, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ChaoYe Liu","Happy Home Company"
"5136","The Hunting God","Jul 28, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tonguç Bodur","Tonguç Bodur"
"5139","DvDrum, Ultimate Drum Simulator!","Feb 9, 2017","$12.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DarkTigerDevelop","DarkTigerDevelop"
"5141","Zen Garden","Apr 4, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","300 fps","300 fps"
"5142","Satellite Repairman","Feb 2, 2017","$0.55","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nuno Donato","Conglomerate 5"
"5150","NEONomicon","Jun 1, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CWH Entertainment","CWH Entertainment"
"5151","Ocean Rift","Sep 13, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Llyr ap Cenydd","Picselica Ltd"
"5155","Psebay","Jul 12, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Eugeny Butakov","Eugeny Butakov"
"5156","FoxyLand","Oct 17, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BUG-Studio","OraMonkey"
"5160","Dinosaur Hunt First Blood","Sep 15, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Racing Bros","ANPA.US"
"5162","Putty Pals","Feb 15, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Harmonious Games","Harmonious Games"
"5171","BOOKS","Aug 23, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","UNIOCS","UNIOCS"
"5174","Miner Meltdown","Aug 2, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mighty Pebble Games Inc","Throwback Entertainment"
"5176","Elisa: the Innkeeper","Mar 28, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Neoclassic Games","Neoclassic Games"
"5177","Gelu","Jul 11, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","NedoStudio","NedoStudio"
"5183","Axis Football 2017","Aug 16, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Axis Games","Axis Games"
"5184","Winds Of Trade","Feb 13, 2017","$11.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rhombico Games","Rhombico Games"
"5186","The Tenth Line","Mar 17, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sungazer Software LLC","Sungazer Software LLC"
"5189","Downward Spiral: Prologue","Mar 30, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","3rd Eye Studios","3rd Eye Studios"
"5191","Brother Wings","Jan 10, 2017","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Brogames","HandMade Games"
"5192","Qbik","Nov 17, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Norbert Palacz","Forever Entertainment S. A."
"5206","Daily Run","Oct 15, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PepoLab","PepoLab"
"5210","Empire Architect","Oct 6, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Batholith Entertainment","Batholith Entertainment"
"5211","Fighting Fantasy Legends","Jul 27, 2017","$6.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nomad Games","Nomad Games"
"5215","Arma: Cold War Assault Mac/Linux","Mar 14, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"5217","Tequila Zombies 3","Apr 6, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","IriySoft","IriySoft"
"5218","Jake's Love Story","Oct 5, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mikołaj Spychał","Mikołaj Spychał"
"5219","Clash Force","Oct 25, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Spicy Gyro Games","Shiny Dolphin Games LLC"
"5220","Achievement Lurker: Respectable Accomplishment","Nov 1, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Perverse Games","Perverse Games"
"5221","Beans: The Coffee Shop Simulator","Jun 30, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Whitethorn Games","Whitethorn Games"
"5223","Displaced","Jul 26, 2017","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gamexy","Alawar Casual"
"5225","ROMBY","Jul 26, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Black Lime Studio","Black Lime Studio"
"5233","Firewood","Aug 1, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Frymore","Frymore"
"5234","ICED","May 15, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","AneaGames","AneaGames"
"5237","Ne no Kami - The Two Princess Knights of Kyoto Part 2","Sep 7, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kuro Irodoru Yomiji","Sekai Project"
"5238","Carpe Diem: Reboot","Oct 30, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Moonlit Works","Moonlit Works"
"5240","Time Trap - Hidden Objects Puzzle Game","Jul 28, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crisp App Studio","Crisp App Studio"
"5242","Einlanzer","Mar 1, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Andrew Ryan Henke","Nostalgia Addict Games"
"5245","DreadEye VR","Nov 28, 2017","$7.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Digital Happiness","Digital Happiness"
"5246","Choppa","Feb 23, 2017","$0.49","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Parta Games Oy","Parta Games Oy"
"5248","Devoid of Shadows","Jul 13, 2017","$8.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","N-Game Studios","VM Games"
"5249","Max's Big Bust - A Captain Nekorai Tale","Feb 6, 2017","$19.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lached Up Games","Lached Up Games"
"5251","Alvora Tactics","Jun 1, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rad Codex","Rad Codex"
"5253","illie","Nov 6, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","NedoStudio","NedoStudio"
"5254","Hoo-Boy","Sep 29, 2017","$1.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Anatoly Konstantinov","Anatoly Konstantinov"
"5255","Possessed","May 17, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Volens Nolens Games","Volens Nolens Games"
"5258","NecroWorm","May 18, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","postpunkpl, atabiszewski","Walkabout"
"5259","Neon Hardcore","Jul 21, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Laush Dmitriy Sergeevich","Laush Studio"
"5264","Infinite Tanks","Mar 25, 2017","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Atypical Games","Atypical Games"
"5267","100ft Robot Golf","Mar 16, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","No Goblin","No Goblin"
"5276","Battle Riders","Apr 26, 2017","$0.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","OneManTeam","OneManTeam"
"5278","Think of the Children","Oct 19, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Jammed Up Studios","Surprise Attack"
"5281","Queen's Quest 3: The End of Dawn","Apr 27, 2017","$14.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Brave Giant LTD","Artifex Mundi"
"5283","Ruthless Safari","Aug 12, 2017","$24.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SharkGame","Laush Studio"
"5285","Zarya-1: Mystery on the Moon","May 30, 2017","$3.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Your Story Interactive","Your Story Interactive"
"5286","Viaerium","Oct 24, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Malevolent Wormhole","Malevolent Wormhole"
"5289","Corona Blossom Vol.3 Journey to the Stars","Jan 25, 2017","$9.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Frontwing","Frontwing USA"
"5291","Pixplode","Jul 3, 2017","$2.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Empyrean","Empyrean"
